format,k,x,quantized,abs_error,rel_error
tiny8,-14.600000,2.5118864315098696e-15,0.0000000000000000e0,2.5118864315098696e-15,1.0000000000000000e0
tiny8,-14.500000,3.1622776601687415e-15,0.0000000000000000e0,3.1622776601687415e-15,1.0000000000000000e0
tiny8,-14.400000,3.9810717055354254e-15,0.0000000000000000e0,3.9810717055354254e-15,1.0000000000000000e0
tiny8,-14.300000,5.0118723362732889e-15,0.0000000000000000e0,5.0118723362732889e-15,1.0000000000000000e0
tiny8,-14.200000,6.3095734448026395e-15,0.0000000000000000e0,6.3095734448026395e-15,1.0000000000000000e0
tiny8,-14.100000,7.9432823472436990e-15,0.0000000000000000e0,7.9432823472436990e-15,1.0000000000000000e0
tiny8,-14.000000,1.0000000000001104e-14,0.0000000000000000e0,1.0000000000001104e-14,1.0000000000000000e0
tiny8,-13.900000,1.2589254117943052e-14,0.0000000000000000e0,1.2589254117943052e-14,1.0000000000000000e0
tiny8,-13.800000,1.5848931924612858e-14,0.0000000000000000e0,1.5848931924612858e-14,1.0000000000000000e0
tiny8,-13.700000,1.9952623149690952e-14,0.0000000000000000e0,1.9952623149690952e-14,1.0000000000000000e0
tiny8,-13.600000,2.5118864315098492e-14,0.0000000000000000e0,2.5118864315098492e-14,1.0000000000000000e0
tiny8,-13.500000,3.1622776601687159e-14,0.0000000000000000e0,3.1622776601687159e-14,1.0000000000000000e0
tiny8,-13.400000,3.9810717055353928e-14,0.0000000000000000e0,3.9810717055353928e-14,1.0000000000000000e0
tiny8,-13.300000,5.0118723362732477e-14,0.0000000000000000e0,5.0118723362732477e-14,1.0000000000000000e0
tiny8,-13.200000,6.3095734448025879e-14,0.0000000000000000e0,6.3095734448025879e-14,1.0000000000000000e0
tiny8,-13.100000,7.9432823472436337e-14,0.0000000000000000e0,7.9432823472436337e-14,1.0000000000000000e0
tiny8,-13.000000,1.0000000000001023e-13,0.0000000000000000e0,1.0000000000001023e-13,1.0000000000000000e0
tiny8,-12.900000,1.2589254117942950e-13,0.0000000000000000e0,1.2589254117942950e-13,1.0000000000000000e0
tiny8,-12.800000,1.5848931924612730e-13,0.0000000000000000e0,1.5848931924612730e-13,1.0000000000000000e0
tiny8,-12.700000,1.9952623149690786e-13,0.0000000000000000e0,1.9952623149690786e-13,1.0000000000000000e0
tiny8,-12.600000,2.5118864315098289e-13,0.0000000000000000e0,2.5118864315098289e-13,1.0000000000000000e0
tiny8,-12.500000,3.1622776601686897e-13,0.0000000000000000e0,3.1622776601686897e-13,1.0000000000000000e0
tiny8,-12.400000,3.9810717055353600e-13,0.0000000000000000e0,3.9810717055353600e-13,1.0000000000000000e0
tiny8,-12.300000,5.0118723362732064e-13,0.0000000000000000e0,5.0118723362732064e-13,1.0000000000000000e0
tiny8,-12.200000,6.3095734448025361e-13,0.0000000000000000e0,6.3095734448025361e-13,1.0000000000000000e0
tiny8,-12.100000,7.9432823472435688e-13,0.0000000000000000e0,7.9432823472435688e-13,1.0000000000000000e0
tiny8,-12.000000,1.0000000000000941e-12,0.0000000000000000e0,1.0000000000000941e-12,1.0000000000000000e0
tiny8,-11.900000,1.2589254117942846e-12,0.0000000000000000e0,1.2589254117942846e-12,1.0000000000000000e0
tiny8,-11.800000,1.5848931924612600e-12,0.0000000000000000e0,1.5848931924612600e-12,1.0000000000000000e0
tiny8,-11.700000,1.9952623149690625e-12,0.0000000000000000e0,1.9952623149690625e-12,1.0000000000000000e0
tiny8,-11.600000,2.5118864315098081e-12,0.0000000000000000e0,2.5118864315098081e-12,1.0000000000000000e0
tiny8,-11.500000,3.1622776601686637e-12,0.0000000000000000e0,3.1622776601686637e-12,1.0000000000000000e0
tiny8,-11.400000,3.9810717055353274e-12,0.0000000000000000e0,3.9810717055353274e-12,1.0000000000000000e0
tiny8,-11.300000,5.0118723362731654e-12,0.0000000000000000e0,5.0118723362731654e-12,1.0000000000000000e0
tiny8,-11.200000,6.3095734448024847e-12,0.0000000000000000e0,6.3095734448024847e-12,1.0000000000000000e0
tiny8,-11.100000,7.9432823472435032e-12,0.0000000000000000e0,7.9432823472435032e-12,1.0000000000000000e0
tiny8,-11.000000,1.0000000000000859e-11,0.0000000000000000e0,1.0000000000000859e-11,1.0000000000000000e0
tiny8,-10.900000,1.2589254117942742e-11,0.0000000000000000e0,1.2589254117942742e-11,1.0000000000000000e0
tiny8,-10.800000,1.5848931924612471e-11,0.0000000000000000e0,1.5848931924612471e-11,1.0000000000000000e0
tiny8,-10.700000,1.9952623149690460e-11,0.0000000000000000e0,1.9952623149690460e-11,1.0000000000000000e0
tiny8,-10.600000,2.5118864315097875e-11,0.0000000000000000e0,2.5118864315097875e-11,1.0000000000000000e0
tiny8,-10.500000,3.1622776601686379e-11,0.0000000000000000e0,3.1622776601686379e-11,1.0000000000000000e0
