x,quantizer,quantized,abs_error,rel_error
-0.580000,bf16_like,-0.578125000000,1.875000000000e-3,3.232758620689e-3
-0.580000,f32_like,-0.579999983311,1.668930016407e-8,2.877465545530e-8
-0.580000,profile_pos_fine_neg_coarse,-0.593750000000,1.375000000000e-2,2.370689655172e-2
-0.570000,bf16_like,-0.570312500000,3.125000000004e-4,5.482456140358e-4
-0.570000,f32_like,-0.569999992847,7.152556991130e-9,1.254834559847e-8
-0.570000,profile_pos_fine_neg_coarse,-0.562500000000,7.500000000000e-3,1.315789473684e-2
-0.560000,bf16_like,-0.558593750000,1.406250000000e-3,2.511160714285e-3
-0.560000,f32_like,-0.560000002384,2.384186181814e-9,4.257475324668e-9
-0.560000,profile_pos_fine_neg_coarse,-0.562500000000,2.500000000000e-3,4.464285714286e-3
-0.550000,bf16_like,-0.550781250000,7.812500000004e-4,1.420454545455e-3
-0.550000,f32_like,-0.550000011921,1.192092935476e-8,2.167441700865e-8
-0.550000,profile_pos_fine_neg_coarse,-0.562500000000,1.250000000000e-2,2.272727272727e-2
-0.540000,bf16_like,-0.539062500000,9.374999999996e-4,1.736111111110e-3
-0.540000,f32_like,-0.540000021458,2.145767252770e-8,3.973643060686e-8
-0.540000,profile_pos_fine_neg_coarse,-0.531250000000,8.750000000000e-3,1.620370370370e-2
-0.530000,bf16_like,-0.531250000000,1.250000000000e-3,2.358490566039e-3
-0.530000,f32_like,-0.529999971390,2.861022907474e-8,5.398156429197e-8
-0.530000,profile_pos_fine_neg_coarse,-0.531250000000,1.250000000000e-3,2.358490566039e-3
-0.520000,bf16_like,-0.519531250000,4.687499999996e-4,9.014423076915e-4
-0.520000,f32_like,-0.519999980927,1.907348590180e-8,3.667978058038e-8
-0.520000,profile_pos_fine_neg_coarse,-0.531250000000,1.125000000000e-2,2.163461538462e-2
-0.510000,bf16_like,-0.511718750000,1.718750000000e-3,3.370098039217e-3
-0.510000,f32_like,-0.509999990463,9.536742728855e-9,1.869949554677e-8
-0.510000,profile_pos_fine_neg_coarse,-0.500000000000,1.000000000000e-2,1.960784313725e-2
-0.500000,bf16_like,-0.500000000000,4.440892098501e-16,8.881784197001e-16
-0.500000,f32_like,-0.500000000000,4.440892098501e-16,8.881784197001e-16
-0.500000,profile_pos_fine_neg_coarse,-0.500000000000,4.440892098501e-16,8.881784197001e-16
-0.490000,bf16_like,-0.490234375000,2.343750000005e-4,4.783163265315e-4
-0.490000,f32_like,-0.490000009537,9.536743617033e-9,1.946274207558e-8
-0.490000,profile_pos_fine_neg_coarse,-0.484375000000,5.625000000000e-3,1.147959183673e-2
-0.480000,bf16_like,-0.480468750000,4.687500000005e-4,9.765625000010e-4
-0.480000,f32_like,-0.479999989271,1.072883559772e-8,2.235174082858e-8
-0.480000,profile_pos_fine_neg_coarse,-0.484375000000,4.375000000000e-3,9.114583333334e-3
-0.470000,bf16_like,-0.470703125000,7.031250000005e-4,1.496010638299e-3
-0.470000,f32_like,-0.469999998808,1.192092424773e-9,2.536366861220e-9
-0.470000,profile_pos_fine_neg_coarse,-0.468750000000,1.250000000000e-3,2.659574468084e-3
-0.460000,bf16_like,-0.460937500000,9.375000000005e-4,2.038043478262e-3
-0.460000,f32_like,-0.460000008345,8.344650748171e-9,1.814054510472e-8
-0.460000,profile_pos_fine_neg_coarse,-0.453125000000,6.875000000000e-3,1.494565217391e-2
-0.450000,bf16_like,-0.449218750000,7.812499999995e-4,1.736111111110e-3
-0.450000,f32_like,-0.449999988079,1.192092846658e-8,2.649095214796e-8
-0.450000,profile_pos_fine_neg_coarse,-0.453125000000,3.125000000000e-3,6.944444444446e-3
-0.440000,bf16_like,-0.439453125000,5.468749999995e-4,1.242897727272e-3
-0.440000,f32_like,-0.439999997616,2.384185293636e-9,5.418602940081e-9
-0.440000,profile_pos_fine_neg_coarse,-0.437500000000,2.500000000000e-3,5.681818181817e-3
-0.430000,bf16_like,-0.429687500000,3.124999999995e-4,7.267441860453e-4
-0.430000,f32_like,-0.430000007153,7.152557879309e-9,1.663385553328e-8
-0.430000,profile_pos_fine_neg_coarse,-0.437500000000,7.500000000001e-3,1.744186046512e-2
-0.420000,bf16_like,-0.419921875000,7.812499999948e-5,1.860119047607e-4
-0.420000,f32_like,-0.419999986887,1.311302133544e-8,3.122147937010e-8
-0.420000,profile_pos_fine_neg_coarse,-0.421875000000,1.875000000001e-3,4.464285714287e-3
-0.410000,bf16_like,-0.410156250000,1.562500000005e-4,3.810975609769e-4
-0.410000,f32_like,-0.409999996424,3.576278162498e-9,8.722629664630e-9
-0.410000,profile_pos_fine_neg_coarse,-0.406250000000,3.749999999999e-3,9.146341463413e-3
-0.400000,bf16_like,-0.400390625000,3.906250000005e-4,9.765625000013e-4
-0.400000,f32_like,-0.400000005960,5.960465010446e-9,1.490116252612e-8
-0.400000,profile_pos_fine_neg_coarse,-0.406250000000,6.250000000001e-3,1.562500000000e-2
-0.390000,bf16_like,-0.390625000000,6.250000000005e-4,1.602564102565e-3
-0.390000,f32_like,-0.389999985695,1.430511420430e-8,3.667978001104e-8
-0.390000,profile_pos_fine_neg_coarse,-0.390625000000,6.250000000005e-4,1.602564102565e-3
-0.380000,bf16_like,-0.380859375000,8.593750000006e-4,2.261513157896e-3
-0.380000,f32_like,-0.379999995232,4.768371031361e-9,1.254834481937e-8
-0.380000,profile_pos_fine_neg_coarse,-0.375000000000,4.999999999999e-3,1.315789473684e-2
-0.370000,bf16_like,-0.369140625000,8.593749999994e-4,2.322635135134e-3
-0.370000,f32_like,-0.370000004768,4.768372141584e-9,1.288749227455e-8
-0.370000,profile_pos_fine_neg_coarse,-0.375000000000,5.000000000001e-3,1.351351351352e-2
-0.360000,bf16_like,-0.359375000000,6.249999999994e-4,1.736111111110e-3
-0.360000,f32_like,-0.360000014305,1.430511531453e-8,3.973643142924e-8
-0.360000,profile_pos_fine_neg_coarse,-0.359375000000,6.249999999994e-4,1.736111111110e-3
-0.350000,bf16_like,-0.349609375000,3.906249999994e-4,1.116071428570e-3
-0.350000,f32_like,-0.349999994040,5.960463900223e-9,1.702989685778e-8
-0.350000,profile_pos_fine_neg_coarse,-0.343750000000,6.249999999999e-3,1.785714285714e-2
-0.340000,bf16_like,-0.339843750000,1.562499999994e-4,4.595588235277e-4
-0.340000,f32_like,-0.340000003576,3.576279272721e-9,1.051846844918e-8
-0.340000,profile_pos_fine_neg_coarse,-0.343750000000,3.750000000001e-3,1.102941176471e-2
-0.330000,bf16_like,-0.330078125000,7.812500000060e-5,2.367424242442e-4
-0.330000,f32_like,-0.330000013113,1.311302244567e-8,3.973643165353e-8
-0.330000,profile_pos_fine_neg_coarse,-0.328125000000,1.874999999999e-3,5.681818181816e-3
-0.320000,bf16_like,-0.320312500000,3.125000000006e-4,9.765625000019e-4
-0.320000,f32_like,-0.319999992847,7.152556769086e-9,2.235173990339e-8
-0.320000,profile_pos_fine_neg_coarse,-0.312500000000,7.499999999999e-3,2.343750000000e-2
-0.310000,bf16_like,-0.310546875000,5.468750000006e-4,1.764112903228e-3
-0.310000,f32_like,-0.310000002384,2.384186403859e-9,7.690923883415e-9
-0.310000,profile_pos_fine_neg_coarse,-0.312500000000,2.500000000001e-3,8.064516129034e-3
-0.300000,bf16_like,-0.300781250000,7.812500000006e-4,2.604166666669e-3
-0.300000,f32_like,-0.300000011921,1.192092957680e-8,3.973643192268e-8
-0.300000,profile_pos_fine_neg_coarse,-0.296875000000,3.124999999999e-3,1.041666666666e-2
-0.290000,bf16_like,-0.289062500000,9.374999999994e-4,3.232758620687e-3
-0.290000,f32_like,-0.289999991655,8.344649637948e-9,2.877465392396e-8
-0.290000,profile_pos_fine_neg_coarse,-0.296875000000,6.875000000001e-3,2.370689655173e-2
-0.280000,bf16_like,-0.279296875000,7.031249999994e-4,2.511160714283e-3
-0.280000,f32_like,-0.280000001192,1.192093534996e-9,4.257476910701e-9
-0.280000,profile_pos_fine_neg_coarse,-0.281250000000,1.250000000001e-3,4.464285714288e-3
-0.270000,bf16_like,-0.269531250000,4.687499999994e-4,1.736111111109e-3
-0.270000,f32_like,-0.270000010729,1.072883670794e-8,3.973643225163e-8
-0.270000,profile_pos_fine_neg_coarse,-0.265625000000,4.374999999999e-3,1.620370370370e-2
-0.260000,bf16_like,-0.259765625000,2.343749999993e-4,9.014423076898e-4
-0.260000,f32_like,-0.259999990463,9.536742506810e-9,3.667977887235e-8
